invoice_no,client_name,invoice_amount,due_date,contact_email,followup_count,payment_status,last_followup_date,days_overdue
INV-1001,Wayne Enterprises,3419.41,2026-05-18,billing@wayneenterprises.com,0,Pending,,0
INV-1002,Globex,8494.62,2026-04-02,billing@globex.com,0,Paid,,37
INV-1003,Cyberdyne Systems,5552.55,2026-04-08,billing@cyberdynesystems.com,0,Paid,,31
INV-1004,Vandelay Industries,7285.72,2026-05-03,billing@vandelayindustries.com,1,Pending,2026-05-09,6
INV-1005,Hooli,8504.7,2026-04-06,billing@hooli.com,0,Paid,,33
INV-1006,Acme Corp,3752.55,2026-04-17,billing@acmecorp.com,2,Pending,2026-05-09,22
INV-1007,Wayne Enterprises,5710.69,2026-04-11,billing@wayneenterprises.com,0,Paid,,28
INV-1008,Oscorp,8847.45,2026-06-06,billing@oscorp.com,0,Pending,,0
INV-1009,Initech,7583.98,2026-04-30,billing@initech.com,0,Paid,,9
INV-1010,Oscorp,8750.85,2026-03-16,billing@oscorp.com,0,Paid,,54
INV-1011,Soylent Corp,9786.33,2026-03-11,billing@soylentcorp.com,0,Paid,,59
INV-1012,Oscorp,2756.92,2026-03-19,billing@oscorp.com,4,Pending,2026-05-09,51
INV-1013,Globex,3650.76,2026-04-03,billing@globex.com,6,Pending,2026-05-09,36
INV-1014,Globex,6751.76,2026-06-02,billing@globex.com,0,Pending,,0
INV-1015,Initech,2600.69,2026-04-18,billing@initech.com,0,Paid,,21
INV-1016,Pied Piper,5756.26,2026-03-17,billing@piedpiper.com,7,Pending,2026-05-09,53
INV-1017,Massive Dynamic,1693.07,2026-06-01,billing@massivedynamic.com,0,Paid,,0
INV-1018,Oscorp,9499.44,2026-04-23,billing@oscorp.com,0,Paid,,16
INV-1019,Initech,5186.97,2026-04-12,billing@initech.com,5,Pending,2026-05-09,27
INV-1020,Stark Industries,1032.63,2026-03-23,billing@starkindustries.com,5,Pending,2026-05-09,47
INV-1021,Genco Pura,4745.22,2026-06-05,billing@gencopura.com,0,Pending,,0
INV-1022,Pied Piper,9120.17,2026-06-03,billing@piedpiper.com,0,Paid,,0
INV-1023,LexCorp,7890.41,2026-04-23,billing@lexcorp.com,0,Paid,,16
INV-1024,Genco Pura,9838.75,2026-04-14,billing@gencopura.com,0,Paid,,25
INV-1025,Stark Industries,1695.22,2026-04-21,billing@starkindustries.com,0,Paid,,18
INV-1026,Vandelay Industries,1018.69,2026-03-14,billing@vandelayindustries.com,0,Paid,,56
INV-1027,Oscorp,5095.6,2026-05-07,billing@oscorp.com,1,Pending,2026-05-09,2
INV-1028,Soylent Corp,1371.62,2026-05-21,billing@soylentcorp.com,0,Pending,,0
INV-1029,Wayne Enterprises,8444.88,2026-04-05,billing@wayneenterprises.com,5,Pending,2026-05-09,34
INV-1030,Massive Dynamic,7248.32,2026-04-21,billing@massivedynamic.com,4,Pending,2026-05-09,18
INV-1031,Pied Piper,7764.06,2026-03-15,billing@piedpiper.com,0,Paid,,55
INV-1032,Cyberdyne Systems,7925.94,2026-06-02,billing@cyberdynesystems.com,0,Pending,,0
INV-1033,Acme Corp,6597.43,2026-03-24,billing@acmecorp.com,7,Pending,2026-05-09,46
INV-1034,Umbrella Corp,3907.88,2026-05-17,billing@umbrellacorp.com,0,Paid,,0
INV-1035,Globex,6703.66,2026-04-30,billing@globex.com,2,Pending,2026-05-09,9
INV-1036,Wayne Enterprises,5293.68,2026-05-01,billing@wayneenterprises.com,2,Pending,2026-05-09,8
INV-1037,Cyberdyne Systems,7085.4,2026-03-13,billing@cyberdynesystems.com,5,Pending,2026-05-09,57
INV-1038,Cyberdyne Systems,3562.58,2026-04-10,billing@cyberdynesystems.com,0,Paid,,29
INV-1039,Initech,8762.6,2026-03-22,billing@initech.com,0,Paid,,48
INV-1040,Vandelay Industries,965.77,2026-03-16,billing@vandelayindustries.com,4,Pending,2026-05-09,54
INV-1041,Genco Pura,7084.94,2026-03-19,billing@gencopura.com,6,Pending,2026-05-09,51
INV-1042,Massive Dynamic,6101.74,2026-04-25,billing@massivedynamic.com,2,Pending,2026-05-09,14
INV-1043,Massive Dynamic,2114.04,2026-06-03,billing@massivedynamic.com,0,Pending,,0
INV-1044,Soylent Corp,3157.95,2026-04-26,billing@soylentcorp.com,2,Pending,2026-05-09,13
INV-1045,Vandelay Industries,3421.85,2026-03-27,billing@vandelayindustries.com,0,Paid,,43
INV-1046,Globex,3092.55,2026-04-06,billing@globex.com,2,Pending,2026-05-09,33
INV-1047,Hooli,4263.45,2026-03-15,billing@hooli.com,6,Pending,2026-05-09,55
INV-1048,Cyberdyne Systems,5791.62,2026-05-15,billing@cyberdynesystems.com,1,Pending,2026-05-09,0
INV-1049,Acme Corp,9811.0,2026-05-29,billing@acmecorp.com,0,Pending,,0
INV-1050,Hooli,7764.08,2026-04-04,billing@hooli.com,0,Paid,,35
INV-1051,Globex,506.18,2026-04-27,billing@globex.com,0,Paid,,12
